epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,205.101,1.68473,1.08527,1.09607,0.47894,0.44448,0.45258,0.16892,2.10165,1.26308,1.3225,0.000848969,0.000848969,0.000848969
43,210.551,1.71968,1.09774,1.11862,0.58511,0.3989,0.48086,0.20287,2.03418,1.19637,1.30664,0.000834822,0.000834822,0.000834822
44,215.864,1.69654,1.0902,1.10268,0.51401,0.51399,0.49401,0.20357,2.08555,1.18811,1.2871,0.000820675,0.000820675,0.000820675
45,222.53,1.70815,1.06116,1.10672,0.5881,0.46999,0.50545,0.22504,1.94219,1.16413,1.25186,0.000806528,0.000806528,0.000806528
46,229.919,1.65677,1.06473,1.09077,0.49075,0.48288,0.44676,0.17608,2.11577,1.24286,1.32012,0.00079238,0.00079238,0.00079238
47,237.594,1.64376,1.05688,1.09566,0.67748,0.50042,0.52781,0.18952,2.19555,1.24824,1.32767,0.000778233,0.000778233,0.000778233
48,244.459,1.60936,1.0048,1.07594,0.83397,0.45908,0.53944,0.19323,2.1472,1.23894,1.33609,0.000764086,0.000764086,0.000764086
49,251.479,1.58877,0.98326,1.06621,0.62121,0.46089,0.48474,0.15313,2.29967,1.31922,1.41615,0.000749939,0.000749939,0.000749939
50,258.045,1.67535,1.04656,1.10127,0.6634,0.44017,0.48459,0.18083,2.19583,1.23615,1.37064,0.000735792,0.000735792,0.000735792
51,265.017,1.64139,1.0095,1.09141,0.8221,0.43511,0.54141,0.24767,1.90099,1.12942,1.24759,0.000721645,0.000721645,0.000721645
52,272.249,1.66296,1.01278,1.08514,0.57015,0.46431,0.46376,0.15242,2.43358,1.47132,1.49154,0.000707498,0.000707498,0.000707498
53,279.739,1.61033,1.00002,1.06862,0.77789,0.44569,0.49551,0.2076,2.03157,1.19216,1.27872,0.000693351,0.000693351,0.000693351
54,287.942,1.59471,0.97967,1.06833,0.63519,0.42495,0.48894,0.20041,2.0484,1.14533,1.30421,0.000679204,0.000679204,0.000679204
55,300.6,1.56162,0.95359,1.04983,0.65982,0.37727,0.40107,0.12613,2.61944,1.30068,1.52685,0.000665057,0.000665057,0.000665057
56,308.414,1.59873,0.98302,1.07753,0.64766,0.43807,0.47809,0.18711,2.19598,1.19241,1.35578,0.000650909,0.000650909,0.000650909
57,312.694,1.58313,0.97712,1.05699,0.62459,0.40381,0.46295,0.18285,2.14129,1.19026,1.33265,0.000636762,0.000636762,0.000636762
58,317.148,1.56448,0.94315,1.04813,0.76169,0.4346,0.49357,0.22151,1.94194,1.15282,1.26318,0.000622615,0.000622615,0.000622615
59,321.442,1.54621,0.93103,1.05127,0.60541,0.41163,0.41689,0.13036,2.42976,1.28557,1.44969,0.000608468,0.000608468,0.000608468
60,325.677,1.5425,0.91576,1.04906,0.66829,0.49719,0.48367,0.19594,2.08689,1.24176,1.33259,0.000594321,0.000594321,0.000594321
61,329.908,1.57556,0.94116,1.05512,0.40756,0.4574,0.34065,0.1117,2.55094,1.32584,1.50065,0.000580174,0.000580174,0.000580174
62,334.159,1.56408,0.90911,1.0595,0.5927,0.44623,0.4355,0.14213,2.46894,1.29116,1.48591,0.000566027,0.000566027,0.000566027
63,338.462,1.53734,0.91127,1.04051,0.56524,0.51999,0.50207,0.1964,2.0784,1.11904,1.32502,0.00055188,0.00055188,0.00055188
64,342.632,1.51574,0.8962,1.03745,0.52655,0.61621,0.49896,0.21194,1.97365,1.1391,1.28694,0.000537733,0.000537733,0.000537733
65,346.811,1.52204,0.89313,1.0388,0.58468,0.54703,0.53224,0.22504,2.02784,1.14787,1.28397,0.000523586,0.000523586,0.000523586
66,351.044,1.53063,0.90564,1.02912,0.60147,0.54429,0.50794,0.21873,2.02454,1.13911,1.28202,0.000509438,0.000509438,0.000509438
67,355.234,1.49489,0.8727,1.03438,0.65602,0.53034,0.48837,0.18295,2.11233,1.22065,1.32048,0.000495291,0.000495291,0.000495291
68,359.753,1.47567,0.87206,1.01643,0.60897,0.50406,0.4729,0.17649,2.2011,1.18164,1.38509,0.000481144,0.000481144,0.000481144
69,364.289,1.48484,0.87335,1.03488,0.76528,0.47901,0.51413,0.21739,2.00724,1.17072,1.32276,0.000466997,0.000466997,0.000466997
70,369.809,1.4822,0.85709,1.02075,0.58189,0.54757,0.50845,0.18325,2.11291,1.18372,1.35252,0.00045285,0.00045285,0.00045285
71,375.873,1.46916,0.86803,1.02647,0.57756,0.47595,0.42825,0.14259,2.40793,1.25663,1.5321,0.000438703,0.000438703,0.000438703
72,381.858,1.41781,0.83405,1.00918,0.57739,0.52224,0.50167,0.21354,1.99821,1.11834,1.30074,0.000424556,0.000424556,0.000424556
73,387.193,1.44661,0.8496,1.01175,0.66284,0.46558,0.48471,0.18235,2.21872,1.16319,1.39435,0.000410409,0.000410409,0.000410409
74,392.855,1.41172,0.81707,1.00772,0.67942,0.49711,0.5448,0.22287,2.04992,1.14483,1.31875,0.000396262,0.000396262,0.000396262
75,398.144,1.43944,0.83595,1.01755,0.50759,0.57699,0.51166,0.18407,2.3122,1.19417,1.39612,0.000382115,0.000382115,0.000382115
76,404.017,1.41025,0.83445,1.01024,0.58139,0.57105,0.55725,0.22139,2.11448,1.12064,1.32291,0.000367967,0.000367967,0.000367967
77,410.289,1.39865,0.81711,0.99498,0.69328,0.45129,0.4826,0.18562,2.27648,1.18129,1.43034,0.00035382,0.00035382,0.00035382
78,416.905,1.42273,0.81101,1.0131,0.59142,0.54059,0.50785,0.20288,2.09633,1.13198,1.34254,0.000339673,0.000339673,0.000339673
79,423.853,1.42826,0.81108,1.00542,0.57118,0.531,0.50584,0.21709,2.05178,1.14521,1.32134,0.000325526,0.000325526,0.000325526
80,428.363,1.36383,0.79761,0.996,0.64569,0.51417,0.51101,0.21779,2.04404,1.11482,1.32606,0.000311379,0.000311379,0.000311379
81,432.701,1.42034,0.80805,1.01594,0.515,0.48832,0.44277,0.16304,2.30097,1.16679,1.4459,0.000297232,0.000297232,0.000297232
82,436.942,1.40217,0.7979,0.99814,0.52222,0.5354,0.49659,0.21305,2.04975,1.1186,1.33264,0.000283085,0.000283085,0.000283085
83,441.262,1.38664,0.79841,0.99532,0.65313,0.49612,0.50855,0.21021,2.07461,1.12283,1.34673,0.000268938,0.000268938,0.000268938
84,445.634,1.37582,0.79949,1.00833,0.6155,0.45261,0.44101,0.16286,2.36061,1.18546,1.45872,0.000254791,0.000254791,0.000254791
85,451.215,1.35276,0.78787,0.985,0.65011,0.52313,0.52188,0.22847,1.9898,1.11795,1.30355,0.000240644,0.000240644,0.000240644
86,456.092,1.33022,0.76786,0.97489,0.60357,0.46534,0.46023,0.16926,2.35605,1.23345,1.45676,0.000226497,0.000226497,0.000226497
87,461.079,1.34725,0.78009,0.97515,0.67202,0.47166,0.47488,0.19984,2.12541,1.17547,1.36425,0.000212349,0.000212349,0.000212349
88,467.981,1.3434,0.76741,0.98252,0.68261,0.51362,0.50751,0.2176,2.05967,1.11858,1.32745,0.000198202,0.000198202,0.000198202
89,475.387,1.3183,0.7704,0.98894,0.60177,0.55022,0.51964,0.20779,2.12648,1.14189,1.3721,0.000184055,0.000184055,0.000184055
90,483.163,1.33573,0.76933,0.98169,0.57362,0.50794,0.45966,0.16967,2.30423,1.18047,1.42718,0.000169908,0.000169908,0.000169908
91,520.356,1.37953,0.78518,1.02108,0.59647,0.5672,0.52147,0.23892,1.9035,1.06874,1.2863,0.000155761,0.000155761,0.000155761
92,530.52,1.34657,0.76257,1.01887,0.51709,0.54066,0.43428,0.15987,2.29583,1.14009,1.497,0.000141614,0.000141614,0.000141614
93,534.656,1.28921,0.73695,1.00083,0.55576,0.57939,0.4908,0.19179,2.1213,1.0972,1.37912,0.000127467,0.000127467,0.000127467
94,539.115,1.26416,0.7087,0.99289,0.5424,0.52475,0.46727,0.18059,2.24805,1.13794,1.44614,0.00011332,0.00011332,0.00011332
95,549.344,1.26922,0.71171,0.99428,0.53413,0.51174,0.46466,0.18625,2.15128,1.12129,1.39845,9.91726e-05,9.91726e-05,9.91726e-05
96,560.7,1.23775,0.69928,0.98214,0.51992,0.50143,0.45926,0.17607,2.24801,1.14848,1.43611,8.50255e-05,8.50255e-05,8.50255e-05
97,570.945,1.2498,0.69831,0.97376,0.58373,0.47651,0.46547,0.17688,2.26891,1.16043,1.46487,7.08784e-05,7.08784e-05,7.08784e-05
98,578.695,1.23685,0.70033,0.97042,0.54328,0.51205,0.49168,0.20842,2.07117,1.10934,1.37159,5.67313e-05,5.67313e-05,5.67313e-05
99,583.041,1.20926,0.69323,0.96872,0.50926,0.54122,0.48073,0.1982,2.15203,1.13828,1.40346,4.25842e-05,4.25842e-05,4.25842e-05
100,587.133,1.21367,0.68663,0.96601,0.5097,0.54103,0.48999,0.19648,2.17784,1.14471,1.41625,2.84371e-05,2.84371e-05,2.84371e-05
